data,ativo,tone,volume
2022-02-14,BTC,-0.3704,0.1652
2022-02-15,BTC,-0.7834,0.134
2022-02-16,BTC,-0.737,0.1386
2022-02-17,BTC,-1.0846,0.1234
2022-02-18,BTC,-0.9627,0.1108
2022-02-19,BTC,-0.796,0.0993
2022-02-20,BTC,-0.9556,0.0797
2022-02-21,BTC,-1.0745,0.1062
2022-02-22,BTC,-0.9214,0.1318
2022-02-23,BTC,-0.7643,0.1528
2022-02-24,BTC,-1.051,0.1671
2022-02-25,BTC,-1.2618,0.1547
2022-02-26,BTC,-1.2638,0.1132
2022-02-27,BTC,-1.1089,0.0997
2022-02-28,BTC,-1.3179,0.1275
2022-03-01,BTC,-0.9252,0.1452
2022-03-02,BTC,-1.5919,0.2059
2022-03-03,BTC,-1.4922,0.1328
2022-03-04,BTC,-1.4469,0.1271
2022-03-05,BTC,-1.0642,0.0869
2022-03-06,BTC,-0.3012,0.1196
2022-03-07,BTC,-0.5576,0.1398
2022-03-08,BTC,-0.6089,0.151
2022-03-09,BTC,-0.6716,0.2323
2022-03-10,BTC,-0.828,0.221
2022-03-11,BTC,-0.5785,0.1432
2022-03-12,BTC,-0.5028,0.0843
2022-03-13,BTC,0.0188,0.1101
2022-03-14,BTC,-0.2389,0.1575
2022-03-15,BTC,0.1372,0.1607
2022-03-16,BTC,0.2008,0.1275
2022-03-17,BTC,-0.1288,0.1318
2022-03-18,BTC,-0.5788,0.1114
2022-03-19,BTC,-0.062,0.1328
2022-03-20,BTC,0.0442,0.1709
2022-03-21,BTC,0.0911,0.1734
2022-03-22,BTC,-0.0032,0.1914
2022-03-23,BTC,-0.1034,0.1698
2022-03-24,BTC,0.2006,0.1654
2022-03-25,BTC,0.1423,0.1655
2022-03-26,BTC,0.3169,0.2138
2022-03-27,BTC,0.1684,0.2327
2022-03-28,BTC,-0.1074,0.1869
2022-03-29,BTC,-0.003,0.1833
2022-03-30,BTC,0.1954,0.1755
2022-03-31,BTC,0.0528,0.1668
2022-04-01,BTC,0.1439,0.1496
2022-04-02,BTC,0.1651,0.158
2022-04-03,BTC,0.8767,0.1883
2022-04-04,BTC,0.0367,0.1522
2022-04-05,BTC,-0.1101,0.2354
2022-04-06,BTC,-0.2829,0.2676
2022-04-07,BTC,0.0606,0.1686
2022-04-08,BTC,-0.2715,0.1652
2022-04-09,BTC,0.1772,0.1798
2022-04-10,BTC,0.2555,0.2496
2022-04-11,BTC,-0.0307,0.2122
2022-04-12,BTC,-0.2743,0.1131
2022-04-13,BTC,0.0557,0.106
2022-04-14,BTC,-0.1025,0.1022
2022-04-15,BTC,-0.3516,0.0893
2022-04-16,BTC,0.3852,0.0598
2022-04-17,BTC,0.07,0.0554
2022-04-18,BTC,-0.3621,0.0959
2022-04-19,BTC,-1.1335,0.149
2022-04-20,BTC,0.233,0.1064
2022-04-21,BTC,-0.5836,0.1662
2022-04-22,BTC,0.0586,0.1167
2022-04-23,BTC,0.073,0.0656
